ID_Estudiante;Nombres;Apellidos;Carrera;Facultad;Edad;Genero;Promedio_Acumulado;Asistencia_Promedio;Modalidad_Estudio;Beca;Horas_Trabajo_Semanal;Apoyo_Familiar;Actividad_Extracurricular;Satisfaccion_Programa;Estado_Mental;Creditos_Inscritos;Ha_Desertado;Razon_Desercion;Riesgo_Desercion_2025;Probabilidad_Desercion_2025
DS202415;Laura Diego;Flores Torres;Ingeniería de Sistemas;Ingeniería;17;Masculino;2.02;74.65;Mixta;Parcial;20;Alto;Voluntariado;Baja;Malo;15;Sí;Problemas de Salud;Medio Riesgo;0.565730811
MS202416;Laura María;Flores Pérez;Psicología;Humanidades;28;Otro;3.04;72.75;Presencial;Ninguna;30;Alto;Voluntariado;Baja;Malo;21;No;No Aplica;Medio Riesgo;0.496637212
DZ202417;Jorge Diego;Ramírez Rodríguez;Arquitectura;Artes y Diseño;30;Masculino;3.13;69.79;Mixta;Ninguna;30;Bajo;Deporte;Alta;Bueno;21;Sí;Falta de Motivación;Medio Riesgo;0.529343508
JZ202418;María Jorge;Díaz González;Contabilidad;Ciencias Económicas;21;Otro;3.17;93.93;Presencial;Ninguna;10;Bajo;Arte;Baja;Bueno;21;No;No Aplica;Medio Riesgo;0.496563828
SZ202419;Pedro Sofía;Ramírez Martínez;Ingeniería Civil;Ingeniería;23;Masculino;4.99;76.41;Presencial;Ninguna;10;Alto;Deporte;Baja;Bueno;21;No;No Aplica;Medio Riesgo;0.488834224
VS202420;Valeria Valeria;Torres Rodríguez;Diseño Gráfico;Artes y Diseño;27;Femenino;3.43;75.47;Presencial;Ninguna;0;Medio;Voluntariado;Baja;Regular;18;No;No Aplica;Medio Riesgo;0.430836108
AS202421;Sofía Ana;Torres Pérez;Economía;Ciencias Económicas;26;Otro;2.64;87.8;Presencial;Beca deportiva;30;Bajo;Arte;Baja;Regular;12;No;No Aplica;Medio Riesgo;0.430391548
LS202422;Luis Laura;Torres Díaz;Medicina;Ciencias de la Salud;24;Masculino;3.02;97.01;Mixta;Ninguna;40;Medio;Voluntariado;Baja;Malo;15;No;No Aplica;Medio Riesgo;0.458194874
CZ202423;María Carlos;Díaz Ramírez;Administración de Empresas;Ciencias Económicas;25;Femenino;4.8;69.21;Mixta;Ninguna;10;Bajo;Deporte;Alta;Malo;12;No;No Aplica;Medio Riesgo;0.454637535
LZ202424;Jorge Laura;Díaz Pérez;Medicina;Ciencias de la Salud;17;Femenino;4.45;51.56;Virtual;Completa;30;Medio;Deporte;Media;Bueno;18;Sí;Problemas Económicos;Medio Riesgo;0.620585994
PZ202425;Jorge Pedro;Pérez Gómez;Comunicación Social;Humanidades;19;Masculino;3.7;82.16;Virtual;Ninguna;40;Bajo;Deporte;Media;Malo;21;Sí;Carga Académica;Medio Riesgo;0.504448783
LZ202426;Ana Laura;Ramírez Ramírez;Psicología;Humanidades;19;Otro;4.71;51.54;Mixta;Ninguna;40;Medio;Arte;Media;Malo;21;Sí;Problemas Económicos;Medio Riesgo;0.583321257
LS202427;Lucía Laura;Torres Martínez;Ingeniería Civil;Ingeniería;24;Femenino;4.7;72.39;Mixta;Ninguna;0;Bajo;Deporte;Alta;Bueno;18;No;No Aplica;Medio Riesgo;0.491299428
PZ202428;Juan Pedro;Ramírez Pérez;Derecho;Ciencias Jurídicas;29;Masculino;2.05;87.23;Virtual;Ninguna;0;Medio;Club Académico;Media;Malo;18;No;No Aplica;Medio Riesgo;0.479574121
VZ202429;Carlos Valeria;Ramírez Pérez;Administración de Empresas;Ciencias Económicas;25;Femenino;4.86;56.81;Virtual;Ninguna;0;Medio;Club Académico;Alta;Bueno;18;Sí;Trabajo;Medio Riesgo;0.515055109
DZ202430;Valeria Diego;González Rodríguez;Diseño Gráfico;Artes y Diseño;20;Femenino;4.02;74.55;Presencial;Parcial;20;Alto;Ninguna;Media;Bueno;15;No;No Aplica;Medio Riesgo;0.554860253
LZ202431;María Luis;Pérez Gómez;Enfermería;Ciencias de la Salud;26;Masculino;3.84;77.58;Presencial;Completa;30;Bajo;Ninguna;Baja;Bueno;12;No;No Aplica;Medio Riesgo;0.514491783
LS202432;Ana Lucía;Torres Martínez;Administración de Empresas;Ciencias Económicas;23;Femenino;4.07;92;Presencial;Ninguna;0;Bajo;Arte;Baja;Malo;18;No;No Aplica;Medio Riesgo;0.423045756
VZ202433;Laura Valeria;Rodríguez Flores;Psicología;Humanidades;25;Otro;4.82;91.95;Mixta;Ninguna;30;Bajo;Club Académico;Baja;Regular;15;Sí;Problemas de Salud;Bajo Riesgo;0.373730054
PZ202434;Valeria Pedro;Martínez Díaz;Comunicación Social;Humanidades;26;Femenino;3.11;74.34;Mixta;Completa;20;Alto;Club Académico;Media;Bueno;18;Sí;Problemas Familiares;Medio Riesgo;0.563507794
JZ202435;Lucía Jorge;Díaz Ramírez;Biología;Ciencias de la Salud;29;Otro;3.34;81.04;Mixta;Ninguna;10;Alto;Arte;Media;Regular;15;No;No Aplica;Medio Riesgo;0.435403716
JZ202436;Ana Jorge;Díaz González;Arquitectura;Artes y Diseño;24;Masculino;4.1;77.99;Presencial;Ninguna;20;Bajo;Club Académico;Baja;Malo;18;No;No Aplica;Medio Riesgo;0.466779458
CZ202437;Sofía Carlos;Ramírez Martínez;Ingeniería de Sistemas;Ingeniería;29;Masculino;4;81.88;Presencial;Beca deportiva;40;Alto;Arte;Alta;Malo;18;No;No Aplica;Medio Riesgo;0.426170676
JZ202438;Diego Juan;Hernández Díaz;Ingeniería de Sistemas;Ingeniería;19;Otro;2.97;92.79;Mixta;Completa;40;Medio;Club Académico;Alta;Bueno;21;No;No Aplica;Medio Riesgo;0.516593621
LZ202439;Pedro Luis;Díaz Ramírez;Contabilidad;Ciencias Económicas;29;Femenino;2.46;85.84;Virtual;Ninguna;20;Bajo;Voluntariado;Media;Bueno;18;No;No Aplica;Medio Riesgo;0.522291516
JS202440;Sofía Jorge;Torres Torres;Medicina;Ciencias de la Salud;30;Femenino;2.45;71.67;Virtual;Ninguna;10;Medio;Deporte;Baja;Regular;15;No;No Aplica;Medio Riesgo;0.45235995
DZ202441;Jorge Diego;Gómez Hernández;Economía;Ciencias Económicas;19;Femenino;3.04;81.24;Presencial;Completa;0;Medio;Arte;Alta;Bueno;12;No;No Aplica;Medio Riesgo;0.524324048
VZ202442;Juan Valeria;Martínez Díaz;Contabilidad;Ciencias Económicas;21;Femenino;2.42;59.43;Presencial;Ninguna;0;Medio;Club Académico;Baja;Regular;18;No;No Aplica;Medio Riesgo;0.528343372
DZ202443;Laura Diego;Pérez Pérez;Ingeniería de Sistemas;Ingeniería;30;Masculino;3.88;84.82;Virtual;Parcial;10;Bajo;Voluntariado;Baja;Bueno;18;Sí;Trabajo;Medio Riesgo;0.460456808
AZ202444;Diego Ana;Ramírez González;Arquitectura;Artes y Diseño;21;Otro;4.36;52.86;Mixta;Completa;30;Alto;Deporte;Baja;Bueno;21;No;No Aplica;Medio Riesgo;0.597182378
SZ202445;Ana Sofía;Martínez Ramírez;Arquitectura;Artes y Diseño;17;Otro;2.97;94.05;Mixta;Ninguna;20;Medio;Arte;Baja;Malo;12;Sí;Carga Académica;Medio Riesgo;0.487892273
JZ202446;Ana Jorge;Gómez Gómez;Enfermería;Ciencias de la Salud;22;Masculino;2.01;70.66;Mixta;Beca deportiva;20;Medio;Arte;Alta;Malo;18;No;No Aplica;Medio Riesgo;0.543228471
PZ202447;María Pedro;Rodríguez Flores;Derecho;Ciencias Jurídicas;29;Femenino;4.48;95.78;Mixta;Parcial;30;Alto;Club Académico;Baja;Malo;15;No;No Aplica;Bajo Riesgo;0.395937136
CS202448;Sofía Carlos;Torres Díaz;Ingeniería Civil;Ingeniería;18;Femenino;4.63;99.17;Mixta;Parcial;0;Alto;Voluntariado;Alta;Regular;12;No;No Aplica;Bajo Riesgo;0.354381195
JZ202449;Laura Juan;Gómez González;Derecho;Ciencias Jurídicas;21;Masculino;2.27;84.27;Presencial;Ninguna;20;Bajo;Ninguna;Baja;Bueno;15;No;No Aplica;Medio Riesgo;0.552859108
VS202450;Lucía Valeria;Torres Díaz;Diseño Gráfico;Artes y Diseño;24;Femenino;2.12;94.93;Presencial;Ninguna;10;Bajo;Deporte;Alta;Regular;12;No;No Aplica;Medio Riesgo;0.405398646
LZ202451;María Luis;Ramírez Gómez;Biología;Ciencias de la Salud;20;Otro;3.41;59.53;Presencial;Ninguna;20;Bajo;Club Académico;Alta;Bueno;12;No;No Aplica;Medio Riesgo;0.579337357
VZ202452;Lucía Valeria;Gómez González;Economía;Ciencias Económicas;28;Otro;2.8;64.96;Mixta;Beca académica;40;Medio;Ninguna;Alta;Malo;15;No;No Aplica;Medio Riesgo;0.52292876
VZ202453;Ana Valeria;Pérez Hernández;Biología;Ciencias de la Salud;17;Masculino;3.56;68.65;Virtual;Completa;40;Alto;Deporte;Alta;Malo;21;No;No Aplica;Medio Riesgo;0.516379611
LZ202454;María Luis;Martínez Gómez;Contabilidad;Ciencias Económicas;24;Masculino;3.52;83.27;Presencial;Ninguna;30;Medio;Ninguna;Media;Regular;21;Sí;Carga Académica;Medio Riesgo;0.448328432
DS202455;María Diego;Flores Ramírez;Comunicación Social;Humanidades;21;Masculino;3.46;83.99;Presencial;Parcial;30;Bajo;Club Académico;Baja;Bueno;15;No;No Aplica;Medio Riesgo;0.525970177
LZ202456;Ana Luis;Díaz Rodríguez;Diseño Gráfico;Artes y Diseño;28;Otro;4.35;72.32;Mixta;Parcial;40;Medio;Deporte;Baja;Malo;15;No;No Aplica;Medio Riesgo;0.478460829
JZ202457;Jorge Juan;Ramírez González;Ingeniería de Sistemas;Ingeniería;19;Otro;3.36;99.92;Mixta;Ninguna;20;Bajo;Deporte;Alta;Regular;15;No;No Aplica;Bajo Riesgo;0.38998573
PZ202458;Jorge Pedro;Martínez Flores;Psicología;Humanidades;24;Femenino;2.93;70.9;Presencial;Completa;30;Medio;Deporte;Baja;Bueno;15;Sí;Trabajo;Medio Riesgo;0.568012237
MZ202459;Carlos María;Ramírez Flores;Ingeniería Civil;Ingeniería;22;Otro;3.38;91.38;Virtual;Parcial;20;Medio;Club Académico;Media;Bueno;15;No;No Aplica;Medio Riesgo;0.511384861
CZ202460;Ana Carlos;Hernández Hernández;Ingeniería Civil;Ingeniería;18;Otro;4.33;56.68;Mixta;Ninguna;10;Alto;Ninguna;Alta;Regular;21;No;No Aplica;Medio Riesgo;0.486278151
CZ202461;Sofía Carlos;Ramírez Díaz;Administración de Empresas;Ciencias Económicas;27;Otro;3.49;92.3;Virtual;Ninguna;40;Bajo;Ninguna;Baja;Bueno;21;No;No Aplica;Medio Riesgo;0.473337562
SZ202462;Ana Sofía;Díaz Flores;Psicología;Humanidades;27;Masculino;2.22;58.04;Presencial;Parcial;0;Alto;Deporte;Media;Regular;15;Sí;Problemas de Salud;Medio Riesgo;0.528466805
LZ202463;Valeria Lucía;Ramírez Torres;Derecho;Ciencias Jurídicas;20;Otro;3.7;98.49;Virtual;Ninguna;30;Bajo;Deporte;Baja;Regular;18;No;No Aplica;Bajo Riesgo;0.388441278
CZ202464;Pedro Carlos;Rodríguez Hernández;Diseño Gráfico;Artes y Diseño;28;Femenino;4.07;75.07;Presencial;Ninguna;30;Alto;Voluntariado;Alta;Bueno;12;No;No Aplica;Medio Riesgo;0.487018498
JZ202465;Luis Juan;Gómez Díaz;Comunicación Social;Humanidades;28;Masculino;2.19;56.24;Presencial;Parcial;20;Alto;Voluntariado;Alta;Malo;18;No;No Aplica;Medio Riesgo;0.544821039
LZ202466;Ana Lucía;Hernández González;Arquitectura;Artes y Diseño;22;Otro;2.62;71.03;Virtual;Completa;40;Bajo;Voluntariado;Baja;Regular;12;Sí;Carga Académica;Medio Riesgo;0.491839934
MZ202467;Diego María;Martínez Torres;Ingeniería Civil;Ingeniería;25;Masculino;2.07;70.45;Virtual;Ninguna;10;Alto;Voluntariado;Alta;Malo;15;Sí;Problemas de Salud;Medio Riesgo;0.506869861
JZ202468;Jorge Juan;Hernández Martínez;Biología;Ciencias de la Salud;28;Otro;4.02;73.2;Presencial;Parcial;30;Alto;Ninguna;Media;Regular;15;No;No Aplica;Medio Riesgo;0.444383835
LZ202469;Luis Luis;Rodríguez González;Medicina;Ciencias de la Salud;26;Masculino;3.83;71.98;Virtual;Ninguna;10;Medio;Deporte;Baja;Bueno;21;No;No Aplica;Medio Riesgo;0.517184474
JZ202470;Ana Jorge;Martínez Rodríguez;Diseño Gráfico;Artes y Diseño;24;Femenino;2.7;90.23;Presencial;Parcial;40;Medio;Voluntariado;Baja;Regular;21;No;No Aplica;Medio Riesgo;0.43566517
LS202471;Laura Laura;Flores Rodríguez;Economía;Ciencias Económicas;22;Masculino;3.5;97.14;Virtual;Ninguna;0;Bajo;Arte;Media;Bueno;18;No;No Aplica;Medio Riesgo;0.481175285
LZ202472;Jorge Laura;González Gómez;Contabilidad;Ciencias Económicas;27;Femenino;2.76;83.46;Virtual;Ninguna;30;Medio;Club Académico;Media;Bueno;21;No;No Aplica;Medio Riesgo;0.535213448
VZ202473;Luis Valeria;Díaz Pérez;Ingeniería de Sistemas;Ingeniería;21;Masculino;4.57;95.3;Virtual;Ninguna;40;Bajo;Club Académico;Baja;Regular;12;No;No Aplica;Bajo Riesgo;0.375254936
LZ202474;Valeria Luis;Pérez Hernández;Economía;Ciencias Económicas;20;Otro;3.91;88.62;Presencial;Ninguna;30;Medio;Arte;Alta;Malo;15;No;No Aplica;Medio Riesgo;0.444456716
LS202475;Ana Luis;Flores Torres;Diseño Gráfico;Artes y Diseño;20;Otro;3.81;71.96;Presencial;Ninguna;20;Medio;Voluntariado;Baja;Bueno;21;No;No Aplica;Medio Riesgo;0.553390617
AS202476;Jorge Ana;Torres Díaz;Contabilidad;Ciencias Económicas;18;Otro;3.76;75.28;Mixta;Completa;40;Medio;Arte;Baja;Bueno;18;No;No Aplica;Medio Riesgo;0.568711239
LZ202477;Jorge Luis;Gómez Rodríguez;Arquitectura;Artes y Diseño;27;Otro;4.47;93.57;Mixta;Ninguna;10;Medio;Voluntariado;Baja;Bueno;18;No;No Aplica;Medio Riesgo;0.448540819
DZ202478;Sofía Diego;Pérez Martínez;Biología;Ciencias de la Salud;28;Femenino;2.57;75.06;Virtual;Parcial;20;Medio;Ninguna;Alta;Regular;18;No;No Aplica;Medio Riesgo;0.432948366
CZ202479;Luis Carlos;Ramírez Ramírez;Ingeniería de Sistemas;Ingeniería;28;Otro;3.91;79.93;Mixta;Ninguna;10;Bajo;Deporte;Media;Malo;15;No;No Aplica;Medio Riesgo;0.472452832
PS202480;Pedro Pedro;Flores Rodríguez;Biología;Ciencias de la Salud;28;Femenino;4.39;64.93;Virtual;Ninguna;40;Alto;Club Académico;Media;Regular;15;Sí;Problemas Económicos;Medio Riesgo;0.454874908
CZ202481;Laura Carlos;Martínez Flores;Derecho;Ciencias Jurídicas;27;Femenino;2.68;71.93;Mixta;Beca académica;20;Alto;Ninguna;Media;Regular;12;No;No Aplica;Medio Riesgo;0.491480386
CZ202482;Laura Carlos;Martínez Martínez;Medicina;Ciencias de la Salud;25;Otro;3.46;79.31;Presencial;Ninguna;40;Bajo;Club Académico;Baja;Malo;18;No;No Aplica;Medio Riesgo;0.484278418
MZ202483;Juan María;González Flores;Enfermería;Ciencias de la Salud;21;Femenino;2.16;74.95;Virtual;Ninguna;0;Alto;Ninguna;Alta;Malo;18;No;No Aplica;Medio Riesgo;0.503214601
DS202484;Sofía Diego;Torres Ramírez;Diseño Gráfico;Artes y Diseño;18;Masculino;2.78;68.74;Presencial;Parcial;40;Medio;Ninguna;Media;Malo;21;No;No Aplica;Medio Riesgo;0.581315426
LZ202485;María Laura;Díaz Gómez;Arquitectura;Artes y Diseño;27;Femenino;4.36;75.34;Mixta;Beca deportiva;20;Medio;Ninguna;Alta;Regular;12;No;No Aplica;Medio Riesgo;0.404228065
SZ202486;Juan Sofía;Martínez Rodríguez;Enfermería;Ciencias de la Salud;20;Femenino;3.55;64.98;Presencial;Beca académica;10;Bajo;Ninguna;Baja;Regular;15;No;No Aplica;Medio Riesgo;0.487923674
JS202487;Luis Jorge;Torres Ramírez;Ingeniería de Sistemas;Ingeniería;29;Masculino;2.92;99.73;Virtual;Ninguna;30;Medio;Deporte;Alta;Bueno;21;No;No Aplica;Medio Riesgo;0.438476391
DS202488;Ana Diego;Torres Rodríguez;Biología;Ciencias de la Salud;17;Femenino;4.77;58.21;Mixta;Parcial;10;Bajo;Ninguna;Media;Bueno;12;Sí;Carga Académica;Medio Riesgo;0.598904228
DZ202489;Lucía Diego;Gómez Flores;Medicina;Ciencias de la Salud;29;Otro;5;58.14;Virtual;Ninguna;40;Bajo;Arte;Alta;Malo;18;No;No Aplica;Medio Riesgo;0.462417929
JS202490;Diego Jorge;Flores Pérez;Economía;Ciencias Económicas;29;Otro;2.51;61.32;Virtual;Completa;0;Medio;Deporte;Baja;Malo;21;No;No Aplica;Medio Riesgo;0.524190367
LZ202491;Jorge Luis;Gómez Ramírez;Contabilidad;Ciencias Económicas;23;Femenino;3.53;71.59;Mixta;Beca deportiva;30;Bajo;Arte;Baja;Bueno;12;Sí;Problemas de Salud;Medio Riesgo;0.559738174
VZ202492;Sofía Valeria;Hernández Díaz;Contabilidad;Ciencias Económicas;21;Otro;2.89;88.74;Presencial;Ninguna;30;Bajo;Ninguna;Alta;Malo;12;Sí;Carga Académica;Medio Riesgo;0.465365072
VS202493;Luis Valeria;Flores Hernández;Economía;Ciencias Económicas;27;Femenino;2.11;96.64;Presencial;Ninguna;10;Medio;Club Académico;Baja;Regular;15;No;No Aplica;Medio Riesgo;0.409165521
LZ202494;Lucía Laura;Martínez Díaz;Psicología;Humanidades;18;Femenino;3.6;79.04;Mixta;Parcial;40;Medio;Voluntariado;Baja;Regular;18;No;No Aplica;Medio Riesgo;0.4755231
AZ202495;Ana Ana;Martínez Ramírez;Economía;Ciencias Económicas;24;Femenino;4.45;92.01;Virtual;Ninguna;40;Alto;Ninguna;Baja;Bueno;18;No;No Aplica;Medio Riesgo;0.45847932
JS202496;Juan Jorge;Flores Martínez;Economía;Ciencias Económicas;25;Masculino;3.28;86.57;Mixta;Completa;0;Alto;Deporte;Alta;Bueno;21;No;No Aplica;Medio Riesgo;0.482083255
PZ202497;Pedro Pedro;Díaz Rodríguez;Ingeniería de Sistemas;Ingeniería;22;Otro;3.33;80.12;Presencial;Parcial;20;Bajo;Arte;Media;Bueno;15;No;No Aplica;Medio Riesgo;0.551157831
JZ202498;Pedro Jorge;Díaz Torres;Diseño Gráfico;Artes y Diseño;18;Otro;3.31;80.1;Presencial;Ninguna;0;Medio;Voluntariado;Baja;Bueno;15;No;No Aplica;Medio Riesgo;0.542959802
VZ202499;Carlos Valeria;Díaz Pérez;Medicina;Ciencias de la Salud;20;Masculino;4.5;98.52;Presencial;Parcial;30;Alto;Deporte;Alta;Regular;15;No;No Aplica;Bajo Riesgo;0.356197738
LZ2024100;Ana Laura;González Ramírez;Ingeniería de Sistemas;Ingeniería;17;Femenino;2.22;60.33;Presencial;Parcial;0;Bajo;Arte;Media;Malo;12;No;No Aplica;Medio Riesgo;0.605660953
DZ2024101;Pedro Diego;Ramírez Díaz;Ingeniería Civil;Ingeniería;30;Femenino;4.19;76.62;Mixta;Ninguna;30;Medio;Arte;Alta;Malo;21;No;No Aplica;Medio Riesgo;0.439735981
MZ2024102;Lucía María;González Rodríguez;Psicología;Humanidades;25;Otro;4.82;60.02;Presencial;Completa;40;Bajo;Voluntariado;Media;Regular;21;No;No Aplica;Medio Riesgo;0.479230013
LZ2024103;Ana Lucía;Gómez Torres;Psicología;Humanidades;27;Masculino;3.62;85.74;Presencial;Ninguna;20;Alto;Voluntariado;Media;Bueno;21;No;No Aplica;Medio Riesgo;0.50515233
JS2024104;Ana Juan;Torres González;Ingeniería Civil;Ingeniería;28;Masculino;2.42;85.09;Presencial;Ninguna;0;Medio;Ninguna;Alta;Bueno;21;No;No Aplica;Medio Riesgo;0.493758365
AZ2024105;Ana Ana;Ramírez Gómez;Derecho;Ciencias Jurídicas;20;Otro;2.04;92.38;Presencial;Parcial;30;Alto;Ninguna;Alta;Bueno;21;No;No Aplica;Medio Riesgo;0.523013105
SZ2024106;Laura Sofía;Díaz Hernández;Arquitectura;Artes y Diseño;29;Femenino;2.04;56.39;Mixta;Ninguna;20;Bajo;Voluntariado;Alta;Bueno;18;No;No Aplica;Medio Riesgo;0.596475543
LZ2024107;Laura Laura;Pérez González;Diseño Gráfico;Artes y Diseño;24;Femenino;3.02;71.24;Mixta;Parcial;40;Medio;Ninguna;Alta;Malo;12;No;No Aplica;Medio Riesgo;0.514692747
LZ2024108;María Laura;Pérez Rodríguez;Diseño Gráfico;Artes y Diseño;18;Femenino;4.59;80.29;Virtual;Ninguna;30;Bajo;Deporte;Baja;Malo;12;Sí;Falta de Motivación;Medio Riesgo;0.467290041
MS2024109;Jorge María;Flores Flores;Psicología;Humanidades;28;Otro;2.09;77.09;Mixta;Parcial;40;Alto;Deporte;Alta;Regular;15;No;No Aplica;Medio Riesgo;0.459257461
LZ2024110;Luis Lucía;Hernández Rodríguez;Comunicación Social;Humanidades;19;Masculino;4.38;51.1;Mixta;Ninguna;0;Alto;Arte;Alta;Malo;18;No;No Aplica;Medio Riesgo;0.536542722
MZ2024111;Diego María;Hernández Díaz;Diseño Gráfico;Artes y Diseño;24;Otro;3.64;56.74;Presencial;Ninguna;30;Alto;Club Académico;Baja;Malo;21;Sí;Trabajo;Medio Riesgo;0.543156958
DZ2024112;Valeria Diego;Gómez Pérez;Derecho;Ciencias Jurídicas;24;Masculino;2.94;83.45;Presencial;Beca deportiva;30;Medio;Deporte;Baja;Malo;12;Sí;Falta de Motivación;Medio Riesgo;0.488040622
CZ2024113;Luis Carlos;Martínez González;Derecho;Ciencias Jurídicas;18;Masculino;3.47;54.65;Mixta;Ninguna;0;Medio;Arte;Baja;Regular;12;No;No Aplica;Medio Riesgo;0.533768945
LZ2024114;Lucía Lucía;Gómez Gómez;Psicología;Humanidades;30;Masculino;3.14;56.19;Mixta;Ninguna;10;Alto;Club Académico;Alta;Malo;15;No;No Aplica;Medio Riesgo;0.515157347
JZ2024115;Carlos Juan;Díaz Martínez;Diseño Gráfico;Artes y Diseño;20;Masculino;4.02;67.06;Presencial;Beca académica;40;Bajo;Voluntariado;Alta;Bueno;18;No;No Aplica;Medio Riesgo;0.549666093
SZ2024116;Valeria Sofía;Gómez Torres;Biología;Ciencias de la Salud;21;Femenino;4.14;88.61;Presencial;Parcial;30;Alto;Club Académico;Baja;Bueno;21;No;No Aplica;Medio Riesgo;0.492251143
VS2024117;Sofía Valeria;Flores Ramírez;Ingeniería Civil;Ingeniería;28;Otro;4.37;65.29;Presencial;Ninguna;30;Medio;Arte;Media;Malo;18;No;No Aplica;Medio Riesgo;0.505282701
MS2024118;Ana María;Flores Pérez;Biología;Ciencias de la Salud;21;Masculino;2.48;81.93;Presencial;Ninguna;30;Bajo;Arte;Alta;Malo;12;Sí;Falta de Motivación;Medio Riesgo;0.496213525
CZ2024119;Jorge Carlos;Pérez Díaz;Derecho;Ciencias Jurídicas;19;Otro;4.46;68.92;Virtual;Ninguna;20;Medio;Ninguna;Alta;Regular;15;Sí;Problemas Económicos;Medio Riesgo;0.436036073
PZ2024120;Laura Pedro;Ramírez Rodríguez;Derecho;Ciencias Jurídicas;22;Femenino;3.9;66.06;Virtual;Ninguna;10;Medio;Voluntariado;Alta;Regular;18;No;No Aplica;Medio Riesgo;0.443229641
CS2024121;Carlos Carlos;Torres Martínez;Comunicación Social;Humanidades;30;Masculino;3.3;50.28;Mixta;Completa;30;Alto;Arte;Baja;Malo;15;Sí;Carga Académica;Medio Riesgo;0.554746728
LS2024122;Jorge Laura;Flores Martínez;Contabilidad;Ciencias Económicas;20;Femenino;4;67.85;Virtual;Ninguna;30;Medio;Ninguna;Media;Bueno;12;Sí;Problemas de Salud;Medio Riesgo;0.574964021
MZ2024123;Laura María;Díaz Díaz;Contabilidad;Ciencias Económicas;23;Femenino;4.34;52.18;Presencial;Beca académica;30;Bajo;Arte;Alta;Regular;21;No;No Aplica;Medio Riesgo;0.481622396
